Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10112834,DCE,m1709,0,0.000,8,2705.000,2635.000,2623.00,6560.00,960.00,Spec,14688.80,10,99918803,2017,09,
26/5/2017,10112835,DCE,m1709,0,0.000,1,2705.000,2635.000,2623.00,820.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112836,DCE,m1709,0,0.000,2,2705.000,2635.000,2623.00,1640.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112837,DCE,m1709,0,0.000,25,2705.000,2635.000,2623.00,20500.00,3000.00,Spec,45902.50,10,99918803,2017,09,
26/5/2017,10112838,DCE,m1709,0,0.000,2,2705.000,2635.000,2623.00,1640.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112839,DCE,m1709,0,0.000,2,2705.000,2635.000,2623.00,1640.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112840,DCE,m1709,0,0.000,30,2705.000,2635.000,2623.00,24600.00,3600.00,Spec,55083.00,10,99918803,2017,09,
26/5/2017,10112841,DCE,m1709,0,0.000,6,2704.000,2635.000,2623.00,4860.00,720.00,Spec,11016.60,10,99918803,2017,09,
26/5/2017,10112842,DCE,m1709,0,0.000,40,2704.000,2635.000,2623.00,32400.00,4800.00,Spec,73444.00,10,99918803,2017,09,
26/5/2017,10112843,DCE,m1709,0,0.000,17,2704.000,2635.000,2623.00,13770.00,2040.00,Spec,31213.70,10,99918803,2017,09,
26/5/2017,10112844,DCE,m1709,0,0.000,24,2704.000,2635.000,2623.00,19440.00,2880.00,Spec,44066.40,10,99918803,2017,09,
26/5/2017,10112845,DCE,m1709,0,0.000,6,2704.000,2635.000,2623.00,4860.00,720.00,Spec,11016.60,10,99918803,2017,09,
26/5/2017,10112846,DCE,m1709,0,0.000,2,2704.000,2635.000,2623.00,1620.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112847,DCE,m1709,0,0.000,12,2704.000,2635.000,2623.00,9720.00,1440.00,Spec,22033.20,10,99918803,2017,09,
26/5/2017,10112848,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112849,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112850,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112851,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112852,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112853,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112854,DCE,m1709,0,0.000,4,2704.000,2635.000,2623.00,3240.00,480.00,Spec,7344.40,10,99918803,2017,09,
26/5/2017,10112855,DCE,m1709,0,0.000,30,2704.000,2635.000,2623.00,24300.00,3600.00,Spec,55083.00,10,99918803,2017,09,
26/5/2017,10112856,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112857,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112858,DCE,m1709,0,0.000,2,2704.000,2635.000,2623.00,1620.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112859,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112860,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112861,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112862,DCE,m1709,0,0.000,18,2704.000,2635.000,2623.00,14580.00,2160.00,Spec,33049.80,10,99918803,2017,09,
26/5/2017,10112863,DCE,m1709,0,0.000,20,2704.000,2635.000,2623.00,16200.00,2400.00,Spec,36722.00,10,99918803,2017,09,
26/5/2017,10112864,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112865,DCE,m1709,0,0.000,30,2704.000,2635.000,2623.00,24300.00,3600.00,Spec,55083.00,10,99918803,2017,09,
26/5/2017,10112866,DCE,m1709,0,0.000,2,2704.000,2635.000,2623.00,1620.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10112867,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112868,DCE,m1709,0,0.000,3,2704.000,2635.000,2623.00,2430.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10112869,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112870,DCE,m1709,0,0.000,18,2704.000,2635.000,2623.00,14580.00,2160.00,Spec,33049.80,10,99918803,2017,09,
26/5/2017,10112871,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112872,DCE,m1709,0,0.000,20,2704.000,2635.000,2623.00,16200.00,2400.00,Spec,36722.00,10,99918803,2017,09,
26/5/2017,10112873,DCE,m1709,0,0.000,7,2704.000,2635.000,2623.00,5670.00,840.00,Spec,12852.70,10,99918803,2017,09,
26/5/2017,10112874,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112875,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112876,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112877,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112878,DCE,m1709,0,0.000,1,2704.000,2635.000,2623.00,810.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10112879,DCE,m1709,0,0.000,10,2704.000,2635.000,2623.00,8100.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10112880,DCE,m1709,0,0.000,2,2704.000,2635.000,2623.00,1620.00,240.00,Spec,3672.20,10,99918803,2017,09,
